"UNITID","long","lat"
100654,"-86.568502","34.783368"
100663,"-86.799345","33.505697"
100690,"-86.17401","32.362609"
100706,"-86.640449","34.724557"
100724,"-86.295677","32.364317"
100751,"-87.545978","33.211875"
100760,"-85.945266","32.92478"
100812,"-86.964698","34.806793"
100830,"-86.177544","32.36736"
100858,"-85.488258","32.599378"
100937,"-86.850552","33.513774"
101028,"-85.031485","32.42391"
101116,"-86.216488","32.342684"
101143,"-85.836956","31.297496"
101161,"-87.778193","30.851343"
101189,"-86.21641","32.384181"
101240,"-85.991438","33.994001"
101277,"-86.196931","34.27871"
101286,"-85.465836","31.315274"
101295,"-86.781935","34.072439"
101301,"-87.013294","32.445917"
101365,"-86.832465","33.468466"
101435,"-86.284366","32.351034"
101453,"-87.663051","34.856153"
101462,"-86.572885","34.771858"
101471,"-86.392369","32.582312"
101480,"-85.765321","33.822938"
101505,"-86.707233","33.652535"
101514,"-86.949674","34.645844"
101541,"-87.315206","32.629253"
101569,"-86.888844","33.450814"
101587,"-88.186329","32.588132"
101602,"-86.452262","31.322947"
101648,"-87.322041","32.623734"
101675,"-86.908751","33.482442"
101693,"-88.128934","30.793247"
101709,"-86.865099","33.10625"
101736,"-87.678089","34.739788"
101879,"-87.681361","34.806738"
101897,"-85.911664","34.545471"
101912,"-86.652705","34.756344"
101994,"-86.964797","31.460265"
102030,"-88.056982","30.693972"
102049,"-86.791799","33.464128"
102067,"-87.56148","33.120531"
102076,"-86.169897","34.201495"
102094,"-88.178711","30.696033"
102234,"-88.138199","30.694751"
102270,"-87.585278","33.200006"
102298,"-86.112704","33.433472"
102313,"-86.343057","32.350109"
102368,"-85.957094","31.800672"
102377,"-85.708492","32.4309"
102395,"-87.91163","30.639329"
102429,"-87.266406","33.836929"
102553,"-149.82619","61.190163"
102580,"-149.111972","61.598553"
102614,"-147.823146","64.85756"
102632,"-134.638255","58.384846"
102669,"-149.804168","61.190968"
102711,"-149.444487","60.110626"
102845,"-122.494766","45.617798"
103501,"-149.856954","61.181443"
103741,"-110.927187","32.235657"
103893,"-112.104601","33.565758"
103909,"-111.853218","33.39248"
103927,"-110.983056","32.224391"
103954,"-110.872305","32.237253"
103963,"-112.157344","33.537249"
104090,"-112.112473","33.566102"
104151,"-111.934383","33.417721"
104160,"-114.495968","32.689306"
104179,"-110.950815","32.232672"
104346,"-111.652501","32.957092"
104391,"-114.332686","34.477485"
104425,"-110.246946","31.564597"
104443,"-111.860423","33.347586"
104568,"-111.858305","33.376583"
104577,"-109.76234","32.843664"
104586,"-112.449741","34.616766"
104665,"-111.941953","33.566649"
104708,"-112.190735","33.570226"
104717,"-112.129929","33.513231"
105145,"-111.997077","33.449686"
105154,"-111.871255","33.390323"
105206,"-114.029838","35.270996"
