"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"1",90586,"C1109X011",28.45408271,17.68950486,"modeled",0,5,"sil",NA,-87.62,33.65,"X","AL"
"2",90596,"C1109X012",0.610881201,0.37977629,"modeled",0,5,"sil",NA,-87.62,33.65,"X","AL"
"3",90602,"C1109X013",25.2922757,15.72385371,"modeled",0,7,"sil",NA,-87.62,33.65,"X","AL"
"4",90607,"C1109X014",2.752220436,1.711016914,"modeled",0,5,"sil",NA,-87.62,33.65,"X","AL"
"5",90614,"C1109X015",2.870571986,1.784594416,"modeled",0,5,"sil",NA,-87.62,33.65,"X","AL"
"6",111564,"C1401F141",38.11,1.617319877,"measured",0,4,"",NA,-85.48,33.24,"F","AL"
"7",111568,"C1401F142",3.118291585,1.938598222,"modeled",0,8,"scl",NA,-85.48,33.24,"F","AL"
"8",111572,"C1401F143",4.379268972,2.72253021,"modeled",0,10,"l",NA,-85.48,33.24,"F","AL"
"9",111575,"C1401F144",47.69,1.617319877,"measured",0,3,"",NA,-85.48,33.24,"F","AL"
"10",111580,"C1401F145",45.75,1.617319877,"measured",0,2,"",NA,-85.48,33.24,"F","AL"
"11",111584,"C1401F151",4.068426216,2.529283621,"modeled",0,5,"sl",NA,-86.19,33.12,"F","AL"
"12",111588,"C1401F152",5.839910042,3.630590314,"modeled",0,7,"l",NA,-86.19,33.12,"F","AL"
"13",111592,"C1401F153",5.027102667,3.125279349,"modeled",0,5,"sl",NA,-86.19,33.12,"F","AL"
"14",111598,"C1401F154",2.43460676,1.513560938,"modeled",0,9,"sl",NA,-86.19,33.12,"F","AL"
"15",111602,"C1401F155",3.81786041,2.373510367,"modeled",0,9,"sl",NA,-86.19,33.12,"F","AL"
"16",111690,"C1401F221",47.23,1.617319877,"measured",0,3,"",NA,-85.91,32.96,"F","AL"
"17",111696,"C1401F222",53.11,1.617319877,"measured",0,2,"",NA,-85.91,32.96,"F","AL"
"18",111700,"C1401F223",54.21,1.617319877,"measured",0,2,"",NA,-85.91,32.96,"F","AL"
"19",111704,"C1401F224",52.65,1.617319877,"measured",0,3,"",NA,-85.91,32.96,"F","AL"
"20",111710,"C1401F225",49.74,1.617319877,"measured",0,3,"",NA,-85.91,32.96,"F","AL"
