"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"1",111564,"C1401F141",38.11,1.617319877,"measured",0,4,"",NA,-85.48,33.24,"F","AL"
"2",111575,"C1401F144",47.69,1.617319877,"measured",0,3,"",NA,-85.48,33.24,"F","AL"
"3",111580,"C1401F145",45.75,1.617319877,"measured",0,2,"",NA,-85.48,33.24,"F","AL"
"4",111690,"C1401F221",47.23,1.617319877,"measured",0,3,"",NA,-85.91,32.96,"F","AL"
"5",111696,"C1401F222",53.11,1.617319877,"measured",0,2,"",NA,-85.91,32.96,"F","AL"
"6",111700,"C1401F223",54.21,1.617319877,"measured",0,2,"",NA,-85.91,32.96,"F","AL"
"7",111704,"C1401F224",52.65,1.617319877,"measured",0,3,"",NA,-85.91,32.96,"F","AL"
"8",111710,"C1401F225",49.74,1.617319877,"measured",0,3,"",NA,-85.91,32.96,"F","AL"
"9",111776,"C1401F254",28.43,1.617319877,"measured",0,3,"",NA,-85.29,33.31,"F","AL"
"10",111781,"C1401F255",21.97,1.617319877,"measured",0,4,"",NA,-85.29,33.31,"F","AL"
"11",111810,"C1401F271",43.41,1.617319877,"measured",0,3,"",NA,-85.65,33.21,"F","AL"
"12",111817,"C1401F273",44.42,1.617319877,"measured",0,3,"",NA,-85.65,33.21,"F","AL"
"13",111821,"C1401F274",42.06,1.617319877,"measured",0,3,"",NA,-85.65,33.21,"F","AL"
"14",111827,"C1401F275",44.17,1.617319877,"measured",0,3,"",NA,-85.65,33.21,"F","AL"
"15",111943,"C1401F322",48.14,1.617319877,"measured",0,2,"",NA,-85.5,33.24,"F","AL"
"16",111953,"C1401F324",47.99,1.617319877,"measured",0,4,"",NA,-85.5,33.24,"F","AL"
"17",111957,"C1401F325",38.17,1.617319877,"measured",0,2,"",NA,-85.5,33.24,"F","AL"
"18",112004,"C1401F381",11.14,1.617319877,"measured",0,3,"",NA,-85.62,33.33,"F","AL"
"19",112009,"C1401F382",51.64,1.617319877,"measured",0,3,"",NA,-85.62,33.33,"F","AL"
"20",112015,"C1401F383",36.67,1.617319877,"measured",0,2,"",NA,-85.62,33.33,"F","AL"
"21",112019,"C1401F384",37.97,1.617319877,"measured",0,2,"",NA,-85.62,33.33,"F","AL"
"22",112205,"C1401F521",46.48,1.617319877,"measured",0,3,"",NA,-85.63,33.26,"F","AL"
"23",112209,"C1401F522",43.97,1.617319877,"measured",0,3,"",NA,-85.63,33.26,"F","AL"
"24",112219,"C1401F524",39.13,1.617319877,"measured",0,2,"",NA,-85.63,33.26,"F","AL"
"25",112226,"C1401F525",18.04,1.617319877,"measured",0,3,"",NA,-85.63,33.26,"F","AL"
"26",112246,"C1401F541",31.11,1.617319877,"measured",0,4,"",NA,-85.85,33.51,"F","AL"
"27",112251,"C1401F542",39.49,1.617319877,"measured",0,4,"",NA,-85.85,33.51,"F","AL"
"28",112255,"C1401F543",41.38,1.617319877,"measured",0,4,"",NA,-85.85,33.51,"F","AL"
"29",112260,"C1401F544",46.51,1.617319877,"measured",0,3,"",NA,-85.85,33.51,"F","AL"
"30",112290,"C1401F561",51.03,1.617319877,"measured",0,5,"",NA,-85.83,33.1,"F","AL"
"31",112294,"C1401F562",51.19,1.617319877,"measured",0,3,"",NA,-85.83,33.1,"F","AL"
"32",112304,"C1401F564",46.26,1.617319877,"measured",0,3,"",NA,-85.83,33.1,"F","AL"
"33",112309,"C1401F565",30.96,1.617319877,"measured",0,3,"",NA,-85.83,33.1,"F","AL"
"34",112397,"C1401F611",35.34,1.617319877,"measured",0,5,"",NA,-85.61,33.35,"F","AL"
"35",112406,"C1401F613",41.43,1.617319877,"measured",0,3,"",NA,-85.61,33.35,"F","AL"
"36",112412,"C1401F614",40.1,1.617319877,"measured",0,2,"",NA,-85.61,33.35,"F","AL"
"37",112417,"C1401F615",16.18,1.617319877,"measured",0,3,"",NA,-85.61,33.35,"F","AL"
"38",116611,"C1407F011",49.24,1.617319877,"measured",0,3,"",NA,-85.68,33.02,"F","AL"
"39",116616,"C1407F012",44.51,1.617319877,"measured",0,4,"",NA,-85.68,33.02,"F","AL"
